 customer_id |   title   |   first_name    |      last_name       | suffix |                   email                   | gender |   ip_address    |    phone     |         street_address          |           city            | state | postal_code |      latitude      |      longitude      |     date_added      | product_id |         model         | year | product_type | base_msrp  | production_start_date | production_end_date | dealership_id | high_savings 
-------------+-----------+-----------------+----------------------+--------+-------------------------------------------+--------+-----------------+--------------+---------------------------------+---------------------------+-------+-------------+--------------------+---------------------+---------------------+------------+-----------------------+------+--------------+------------+-----------------------+---------------------+---------------+--------------
           1 |           | Arlena          | Riveles              |        | ariveles0@stumbleupon.com                 | F      | 98.36.172.246   |              |                                 |                           |       |             |                    |                     | 2017-04-23 00:00:00 |          7 | Bat                   | 2016 | scooter      |     599.99 | 2016-10-10 00:00:00   |                     |            -1 |            0
           4 |           | Jessika         | Nussen               |        | jnussen3@salon.com                        | F      | 159.165.138.166 | 615-824-2506 | 224 Village Circle              | Nashville                 | TN    | 37215       |            36.0986 |            -86.8219 | 2017-09-03 00:00:00 |         12 | Lemon Zester          | 2019 | scooter      |     349.99 | 2019-02-04 00:00:00   |                     |            11 |            0
           5 |           | Lonnie          | Rembaud              |        | lrembaud4@discovery.com                   | F      | 18.131.58.65    | 786-499-3431 | 38 Lindbergh Way                | Miami                     | FL    | 33124       |            25.5584 |            -80.4582 | 2014-03-06 00:00:00 |          3 | Lemon                 | 2013 | scooter      |     499.99 | 2013-05-01 00:00:00   | 2018-12-28 00:00:00 |            -1 |            0
           6 |           | Cortie          | Locksley             |        | clocksley5@weather.com                    | M      | 140.194.59.82   |              | 6537 Delladonna Drive           | Miami                     | FL    | 33158       |            25.6364 |            -80.3187 | 2013-03-31 00:00:00 |          3 | Lemon                 | 2013 | scooter      |     499.99 | 2013-05-01 00:00:00   | 2018-12-28 00:00:00 |            -1 |            0
           7 |           | Wood            | Kennham              |        | wkennham6@sohu.com                        | M      | 191.190.135.172 | 407-552-6486 | 001 Onsgard Park                | Orlando                   | FL    | 32891       |            28.5663 |            -81.2608 | 2011-08-25 00:00:00 |          6 | Model Sigma           | 2015 | automobile   |   65500.00 | 2015-04-15 00:00:00   | 2018-10-01 00:00:00 |            -1 |            0
           7 |           | Wood            | Kennham              |        | wkennham6@sohu.com                        | M      | 191.190.135.172 | 407-552-6486 | 001 Onsgard Park                | Orlando                   | FL    | 32891       |            28.5663 |            -81.2608 | 2011-08-25 00:00:00 |          1 | Lemon                 | 2010 | scooter      |     399.99 | 2010-03-03 00:00:00   | 2012-06-08 00:00:00 |            -1 |            0
           7 |           | Wood            | Kennham              |        | wkennham6@sohu.com                        | M      | 191.190.135.172 | 407-552-6486 | 001 Onsgard Park                | Orlando                   | FL    | 32891       |            28.5663 |            -81.2608 | 2011-08-25 00:00:00 |          7 | Bat                   | 2016 | scooter      |     599.99 | 2016-10-10 00:00:00   |                     |            -1 |            0
          11 | Mrs       | Urbano          | Middlehurst          |        | umiddlehursta@prnewswire.com              | M      | 185.118.6.23    | 918-339-5890 | 5203 7th Trail                  | Tulsa                     | OK    | 74156       |            36.3024 |            -95.9605 | 2011-10-22 00:00:00 |          1 | Lemon                 | 2010 | scooter      |     399.99 | 2010-03-03 00:00:00   | 2012-06-08 00:00:00 |            -1 |            0
          12 | Mr        | Tyne            | Duggan               |        | tdugganb@soup.io                          | F      | 13.29.231.228   |              |                                 |                           |       |             |                    |                     | 2017-10-25 00:00:00 |          9 | Model Epsilon         | 2017 | automobile   |   35000.00 | 2017-02-15 00:00:00   |                     |            -1 |            0
